ID,Experience_Years,Age,Salary
1,5,28,250000
2,1,21,50000
3,3,23,170000
4,2,22,25000
5,1,17,10000
6,25,62,5001000
7,19,54,800000
8,2,21,9000
9,10,36,61500
10,15,54,650000
11,4,26,250000
12,6,29,1400000
13,14,39,6000050
14,11,40,220100
15,2,23,7500
16,4,27,87000
17,10,34,930000
18,15,54,7900000
19,2,21,15000
20,10,36,330000
21,15,54,6570000
22,4,26,25000
23,5,29,6845000
24,1,21,6000
25,4,23,8900
26,3,22,20000
27,1,18,3000
28,27,62,10000000
29,19,54,5000000
30,2,21,6100
31,10,34,80000
32,15,54,900000
33,20,55,1540000
34,19,53,9300000
35,16,49,7600000
